,probesets,sym,chrom
2536,32539_at,COPS8,2
2537,32540_at,PPP3CC,8
2538,32541_at,PPP3CC,8
2539,32542_at,FHL1,X
2540,32543_at,CALR,19
2541,32544_s_at,RSU1,10
2542,32545_r_at,RSU1,10
2543,32546_at,FH,1
2544,32547_at,M6PR,12
2545,32548_at,PTGES3,12
2546,32549_at,PAPPA,9
2547,32550_r_at,CEBPA,19
2548,32551_at,EFEMP1,2
2549,32552_at,RBP4,10
2550,32553_at,MAZ,16
2551,32554_s_at,TBL1X,X
2552,32555_at,TBL1X,X
2553,32556_at,U2AF2,19
2554,32557_at,U2AF2,19
2555,32558_at,PIAS3,1
2556,32559_s_at,LSM4,19
2557,32560_s_at,LSM4,19
2558,32561_at,KIAA0146,8
2559,32562_at,ENG,9
2560,32563_at,ATP1B3,3
2561,32564_at,SEC61B,9
2562,32565_at,SMARCD3,7
2563,32566_at,CHPF,2
2564,32567_at,CHKA,11
2565,32568_at,BTG3,21
2566,32569_at,PAFAH1B1,17
2567,32570_at,HPGD,4
2568,32571_at,MAT2A,2
2569,32572_at,USP9X,X
2570,32573_at,SFRS9,12
2571,32574_at,SMPD1,11
2572,32575_at,NAP1L4,11
2573,32576_at,EIF3F,11
2574,32577_s_at,PSMC3IP,17
2575,32578_at,MLX,17
2576,32579_at,SMARCA4,19
2577,32580_at,RGS12,4
2578,32581_at,RAB2A,8
2579,32582_at,MYH11,16
2580,32583_at,JUN,1
2581,32584_at,PSMD8,19
2582,32585_at,EPB41L2,6
2583,32586_at,LARP4B,10
2584,32587_at,ZFP36L2,2
2585,32588_s_at,ZFP36L2,2
2586,32589_at,CHAF1A,19
2587,32590_at,NCL,2
2588,32591_at,SDR39U1,14
2589,32592_at,KIAA0323,14
2590,32593_at,RFTN1,3
2591,32594_at,CCT4,2
2592,32595_at,GRSF1,4
2593,32596_at,RBL2,16
2594,32597_at,RBL2,16
2595,32598_at,NELL2,12
2596,32599_at,TSC1,9
2597,325_s_at,PIP,7
2598,32600_at,DOK4,16
2599,32601_s_at,POLR2C,16
2600,32602_at,RAP1GDS1,4
2601,32603_at,,
2602,32604_s_at,CEP68,2
2603,32605_r_at,RAB1A,2
2604,32606_at,BASP1,5
2605,32607_at,BASP1,5
2606,32608_at,ZNF787,19
2607,32609_at,,
2608,32610_at,PDLIM4,5
2609,32611_at,PEBP1,12
2610,32612_at,GSN,9
2611,32613_at,SV2B,15
2612,32614_at,SV2B,15
2613,32615_at,DARS,2
2614,32616_at,LYN,8
2615,32617_at,FANCI,15
2616,32618_at,BLVRA,7
2617,32619_at,FETUB,3
2618,32620_at,FETUB,3
2619,32621_at,DR1,1
2620,32622_at,DNM2,19
2621,32623_at,GABBR1,6
2622,32624_at,GARNL1,14
2623,32625_at,NPR1,1
2624,32626_at,GFPT1,2
2625,32627_at,RANBP6,9
2626,32628_at,VEZF1,17
2627,32629_f_at,BTN3A1,6
2628,32630_f_at,BTN3A1,6
2629,32631_at,GBA,1
2630,32632_g_at,GBA,1
2631,32633_at,ICA1,7
2632,32634_s_at,ICA1,7
2633,32635_at,TRIM33,1
2634,32636_f_at,SMG1,16
2635,32637_r_at,SMG1,16
2636,32638_s_at,SMG1,16
2637,32639_at,NUPL2,7
2638,32640_at,ICAM1,19
2639,32641_at,PDS5B,13
2640,32642_at,NCAN,19
2641,32643_at,GBE1,3
2642,32644_at,NUP188,9
2643,32645_at,PDE4DIP,1
2644,32646_at,KIF21B,1
2645,32647_at,VTI1B,14
2646,32648_at,DLK1,14
2647,32649_at,TCF7,5
2648,32650_at,TAGLN3,3
2649,32651_at,TAGLN3,3
2650,32652_g_at,TAGLN3,3
2651,32653_at,BRD8,5
2652,32654_g_at,BRD8,5
2653,32655_s_at,BRD8,5
2654,32656_at,MPDZ,9
2655,32657_at,IQCB1,3
2656,32658_at,VPS52,6
2657,32659_at,EIF2B4,2
2658,32660_at,LBA1,3
2659,32661_s_at,MDC1,6
2660,32662_at,MDC1,6
2661,32663_at,RHAG,6
2662,32664_at,RNASE4,14
2663,32665_at,PPM1B,2
2664,32666_at,CXCL12,10
2665,32667_at,COL4A5,X
2666,32668_at,SSBP2,5
2667,32669_at,SOCS5,2
2668,32670_at,THBS3,1
2669,32671_at,TTLL4,2
2670,32672_at,,
2671,32673_at,BTN2A1,6
2672,32674_at,ZNF638,2
2673,32675_at,BST1,4
2674,32676_at,ALDH6A1,14
2675,32677_at,,
2676,32678_at,MYO5A,15
2677,32679_at,MTFR1,8
2678,32680_at,TNIK,3
2679,32681_at,SLC9A1,1
2680,32682_at,TMPO,12
2681,32683_at,TMPO,12
2682,32684_at,C9orf91,9
2683,32685_at,RALGPS1,9
2684,32686_at,PTGER3,1
2685,32687_s_at,PTGER3,1
2686,32688_at,PTGER3,1
2687,32689_s_at,PTGER3,1
2688,32690_s_at,PTGER3,1
2689,32691_s_at,PTGER3,1
2690,32692_at,PTGER3,1
2691,32693_at,MON2,12
2692,32694_at,RARB,3
2693,32695_at,HTATSF1,X
2694,32696_at,PBX3,9
2695,32697_at,IMPA1,8
2696,32698_at,PVR,19
2697,32699_s_at,PVR,19
2698,326_i_at,,
2699,32700_at,GBP2,1
2700,32701_at,ARVCF,22
2701,32702_at,TROAP,12
2702,32703_at,PLK4,4
2703,32704_at,DOCK2,5
2704,32705_at,CYP3A7,7
2705,32706_at,HIRA,22
2706,32707_at,KATNA1,6
2707,32708_g_at,KATNA1,6
2708,32709_at,KCNAB1,3
2709,32710_at,,
2710,32711_g_at,KCNAB1,3
2711,32712_at,MYT1L,2
2712,32713_at,GOLGA1,9
2713,32714_s_at,ACVRL1,12
2714,32715_at,VAMP8,2
2715,32716_at,DGKA,12
2716,32717_at,NEURL,10
2717,32718_at,TPST1,7
2718,32719_at,NRG1,8
2719,32720_at,ATG12,5
2720,32721_at,ATG12,5
2721,32722_at,ARG2,14
2722,32723_at,CSTF1,20
2723,32724_at,PHYH,10
2724,32725_at,BID,22
2725,32726_g_at,BID,22
2726,32727_at,RDH5,12
2727,32728_at,AMPH,7
2728,32729_at,MYH3,17
2729,32730_at,TSPYL5,8
2730,32731_at,APBB3,5
2731,32732_at,MRPS14,1
2732,32733_at,,
2733,32734_at,PPP2R5E,14
2734,32735_at,PHLPP2,16
2735,32736_at,RAC2,22
2736,32737_at,RAC2,22
2737,32738_at,NDUFS2,1
2738,32739_at,PGM3,6
2739,32740_at,RAB11FIP2,10
2740,32741_at,RABEP1,17
2741,32742_s_at,RABEP1,17
2742,32743_at,VPS13D,1
2743,32744_at,RPS21,20
2744,32745_at,MRPL40,22
2745,32746_at,CFLAR,2
2746,32747_at,ALDH2,12
2747,32748_at,RPS27,1
2748,32749_s_at,FLNA,X
2749,32750_r_at,FLNA,X
2750,32751_at,ILF3,19
2751,32752_at,NDUFA7,19
2752,32753_at,SF3B3,16
2753,32754_at,TPM3,1
2754,32755_at,ACTA2,10
2755,32756_at,ECH1,19
2756,32757_at,RAE1,20
2757,32758_g_at,RAE1,20
2758,32759_at,,
2759,32760_at,SEMG1,20
2760,32761_at,SRRM2,16
2761,32762_i_at,RAB3GAP2,1
2762,32763_r_at,RAB3GAP2,1
2763,32764_at,PGCP,8
2764,32765_f_at,PGCP,8
2765,32766_at,XRCC6,22
2766,32767_at,STIL,1
2767,32768_at,TDRD3,13
2768,32769_at,WDFY3,4
2769,32770_at,SEC24D,4
2770,32771_at,GC,4
2771,32772_s_at,B4GALT1,9
2772,32773_at,HLA-DQA1,6
2773,32774_at,NDUFB8,10
2774,32775_r_at,PLSCR1,3
2775,32776_at,RALB,2
2776,32777_at,WRB,21
2777,32778_at,ITPR1,3
2778,32779_s_at,ITPR1,3
2779,32780_at,DST,6
2780,32781_f_at,DST,6
2781,32782_r_at,DST,6
2782,32783_at,FBLN2,3
2783,32784_at,PRPF4B,6
2784,32785_at,EIF3A,10
2785,32786_at,JUNB,19
2786,32787_at,ERBB3,12
2787,32788_at,RANBP2,2
2788,32789_at,NCBP2,3
2789,32790_at,NCBP2,3
2790,32791_at,TMEM97,17
2791,32792_at,SYF2,1
2792,32793_at,,
2793,32794_g_at,,
2794,32795_at,,
2795,32796_f_at,,
2796,32797_at,,
2797,32798_at,GSTM3,1
2798,32799_at,SCAMP3,1
2799,327_f_at,RPS20,8
2800,32800_at,RXRA,9
2801,32801_at,KIAA0317,14
2802,32802_at,MARCH6,5
2803,32803_at,CNIH,14
2804,32804_at,RBM5,3
2805,32805_at,,10ak*
2806,32806_at,TSPO,22
2807,32807_at,KBTBD2,7
2808,32808_at,ITGB1,10
2809,32809_at,ZNF24,18
2810,32810_at,TPMT,6
2811,32811_at,MYO1C,17
2812,32812_at,LIMCH1,4
2813,32813_s_at,KATNB1,16
2814,32814_at,IFIT1,10
2815,32815_at,,
2816,32816_at,SGTA,19
2817,32817_at,SEC14L2,22
2818,32818_at,TNC,9
2819,32819_at,HIST1H2BK,6
2820,32820_at,CNOT4,7
2821,32821_at,LCN2,9
2822,32822_at,SLC25A4,4
2823,32823_at,VPS11,11
2824,32824_at,TPP1,11
2825,32825_at,PRMT1,19
2826,32826_at,ENTPD1,10
2827,32827_at,RRAS2,11
2828,32828_at,BCKDK,16
2829,32829_at,TIMM17A,1
2830,32830_g_at,TIMM17A,1
2831,32831_at,TIMM17A,1
2832,32832_at,MAEA,4
2833,32833_at,CLK1,2
2834,32834_r_at,RIOK3,18
2835,32835_at,RIOK3,18
2836,32836_at,AGPAT1,6
2837,32837_at,AGPAT2,9
2838,32838_at,MYH10,17
2839,32839_at,PHACTR4,1
2840,32840_at,,
2841,32841_at,CNBP,3
2842,32842_at,BCL7A,12
2843,32843_s_at,FBL,19
2844,32844_at,EIF4G1,3
2845,32845_at,HSPG2,1
2846,32846_s_at,KTN1,14
2847,32847_at,MYLK,3
2848,32848_at,PSMC4,19
2849,32849_at,SMC1A,X
2850,32850_at,NUP153,6
2851,32851_at,CUGBP2,10
2852,32852_at,TXN2,22
2853,32853_at,TOMM70A,3
2854,32854_at,FBXW11,5
2855,32855_at,LDLR,19
2856,32856_at,MICAL3,22
2857,32857_at,SOS2,14
2858,32858_at,UBN1,16
2859,32859_at,STAT1,2
2860,32860_g_at,STAT1,2
2861,32861_s_at,CD28,2
2862,32862_at,RASA3,13
2863,32863_at,CAMK1G,1
2864,32864_at,SRY,Y
2865,32865_at,,
2866,32866_at,ADAMTSL2,9
2867,32867_at,CHM,X
2868,32868_at,TGM3,20
2869,32869_at,MRE11A,11
2870,32870_g_at,MRE11A,11
2871,32871_at,,
2872,32872_at,,
2873,32873_at,KCND2,7
2874,32874_at,TCF3,19
2875,32875_at,RHO,3
2876,32876_s_at,RHO,3
2877,32877_i_at,,
2878,32878_f_at,,
2879,32879_at,,
2880,32880_at,SCGB1D2,11
2881,32881_at,CCDC64,12
2882,32882_at,SOAT2,12
2883,32883_at,ZNF160,19
2884,32884_at,PHF20,20
2885,32885_f_at,,
2886,32886_at,GCGR,17
2887,32887_at,AZI1,17
2888,32888_at,LTK,15
2889,32889_at,RUNDC3B,7
2890,32890_at,DCC,18
2891,32891_at,PRKCE,2
2892,32892_at,RPS6KA2,6
2893,32893_s_at,,
2894,32894_at,AGFG2,7
2895,32895_f_at,AGFG2,7
2896,32896_at,,
2897,32897_at,MTHFR,1
2898,32898_at,ACTL8,1
2899,32899_s_at,RORA,15
2900,328_at,ZNF92,7
2901,32900_at,SYDE1,19
2902,32901_s_at,IFRD1,7
2903,32902_at,SCTR,2
2904,32903_at,TGFBR1,9
2905,32904_at,PRF1,10
2906,32905_s_at,,
2907,32906_at,SLC15A1,13
2908,32907_at,HTR6,1
2909,32908_at,UBN1,16
2910,32909_at,AQP5,12
2911,32910_at,JHDM1D,7
2912,32911_s_at,JHDM1D,7
2913,32912_at,POU3F4,X
2914,32913_i_at,C19orf29,19
2915,32914_f_at,C19orf29,19
2916,32915_at,C15orf39,15
2917,32916_at,PTPRE,10
2918,32917_at,LCT,2
2919,32918_at,,
2920,32919_at,AMIGO2,12
2921,32920_at,HCN4,15
2922,32921_at,,
2923,32922_at,RIF1,2
2924,32923_r_at,SYN1,X
2925,32924_at,MMP24,20
2926,32925_at,MATN4,20
2927,32926_at,,
2928,32927_at,GIMAP5,7
2929,32928_at,POU2F3,11
2930,32929_at,DOLPP1,9
2931,32930_f_at,NLGN4Y,Y
2932,32931_at,,
2933,32932_at,,10ptp*
2934,32933_r_at,,
2935,32934_i_at,,
2936,32935_at,DCAF4,14
2937,32936_at,ZNF41,X
2938,32937_at,EFR3B,2
2939,32938_at,EFR3B,2
2940,32939_g_at,EFR3B,2
2941,32940_at,AMMECR1,X
2942,32941_at,IRF8,16
2943,32942_at,ST8SIA5,18
2944,32943_at,DBH,9
2945,32944_at,ROBO1,3
2946,32945_i_at,MBL2,10
2947,32946_r_at,MBL2,10
2948,32947_at,SCN9A,2
2949,32948_at,USH2A,1
2950,32949_at,DSCR4,21
2951,32950_at,POU6F2,7
2952,32951_g_at,POU6F2,7
2953,32952_at,POU6F2,7
2954,32953_at,CD5,11
2955,32954_at,RIF1,2
2956,32955_at,TRIAP1,12
2957,32956_at,IQCK,16
2958,32957_g_at,IQCK,16
2959,32958_at,IQCK,16
2960,32959_at,ATP6V1B1,2
2961,32960_at,SMO,7
2962,32961_at,DENND4A,15
2963,32962_at,CTH,1
2964,32963_s_at,RRAGD,6
2965,32964_at,EMR1,19
2966,32965_f_at,HSPA1A,6
2967,32966_at,APOF,12
2968,32967_at,FAIM3,1
2969,32968_s_at,SEZ6L,22
2970,32969_r_at,VGF,7
2971,32970_f_at,HABP4,9
2972,32971_at,FAM189A2,9
2973,32972_at,NOX1,X
2974,32973_s_at,NOX1,X
2975,32974_at,EXOSC2,9
2976,32975_g_at,EXOSC2,9
2977,32976_s_at,ZNF711,X
2978,32977_at,FAM65B,6
2979,32978_g_at,FAM65B,6
2980,32979_at,GAB1,4
2981,32980_f_at,HIST1H2BC,6
2982,32981_at,SLC9A3,5
2983,32982_at,,
2984,32983_at,ADRA1B,5
2985,32984_s_at,,
2986,32985_at,SALL1,16
2987,32986_s_at,SMAD9,13
2988,32987_at,CENPI,X
2989,32988_at,CLCNKA,1
2990,32989_at,RFX1,19
2991,32990_at,SLC6A11,3
2992,32991_f_at,AMELY,Y
2993,32992_at,,
2994,32993_s_at,ZMYND10,3
2995,32994_at,ASB4,7
2996,32995_at,ASB4,7
2997,32996_g_at,ASB4,7
2998,32997_at,PAGE1,X
2999,32998_at,CCKAR,4
3000,32999_at,BFSP1,20
3001,329_s_at,NUMA1,11
3002,33000_at,HAVCR1,5
3003,33001_s_at,TGM5,15
3004,33002_at,NCK2,2
3005,33003_at,NCK2,2
3006,33004_g_at,NCK2,2
3007,33005_at,,
3008,33006_at,SPINK4,9
3009,33007_at,CHP2,16
3010,33008_at,OR7E24,19
3011,33009_at,MAP3K1,5
3012,33010_at,SLC5A4,22
3013,33011_at,NTSR2,2
3014,33012_at,TNFSF8,9
3015,33013_at,PDHA2,4
3016,33014_at,MAFK,7
3017,33015_at,,
3018,33016_at,BZRPL1,6
3019,33017_at,GPLD1,6
3020,33018_at,HIST1H3I,6
3021,33019_at,PARK2,6
3022,33020_at,LMX1B,9
3023,33021_at,,
3024,33022_at,RDH16,12
3025,33023_at,HIST1H2AM,6
3026,33024_at,CMA1,14
3027,33025_at,TP53TG5,20
3028,33026_at,,
3029,33027_at,,
3030,33028_at,SLC6A5,11
3031,33029_at,ALOX12B,17
3032,33030_at,HIST1H1D,6
3033,33031_at,,
3034,33032_r_at,,
3035,33033_at,ATP6V1G2,6
3036,33034_at,RHBDL1,16
3037,33035_at,TIPRL,1
3038,33036_at,TRPA1,8
3039,33037_at,CHST7,X
3040,33038_at,,
3041,33039_at,TRAT1,3
3042,33040_at,UNC93A,6
3043,33041_at,GJC1,17
3044,33042_r_at,,
3045,33043_at,USP6,17
3046,33044_f_at,EMX1,2
3047,33045_r_at,EMX1,2
3048,33046_f_at,EMX1,2
3049,33047_at,BCL2L11,2
3050,33048_at,NECAB2,16
3051,33049_at,HIST1H4B,6
3052,33050_at,DRD5,4
3053,33051_at,GABRR1,6
3054,33052_at,PLA2G10,16
3055,33053_at,,
3056,33054_at,DNAH3,16
3057,33055_at,CYP7B1,8
3058,33056_at,EXOG,3
3059,33057_g_at,EXOG,3
3060,33058_at,KRT75,12
3061,33059_at,,
3062,33060_g_at,,
3063,33061_at,C16orf3,16
3064,33062_at,GSTA1,6
3065,33063_at,GP1BA,17
3066,33064_at,CACNG1,17
3067,33065_at,JPH3,16
3068,33066_at,PTPRB,12
3069,33067_at,HIST1H1A,6
3070,33068_f_at,UGT2B15,4
3071,33069_f_at,UGT2B15,4
3072,33070_at,HCRTR1,1
3073,33071_at,OR2B6,6
3074,33072_at,HCRTR2,6
3075,33073_at,PAK3,X
3076,33074_g_at,PAK3,X
3077,33075_at,PAK3,X
3078,33076_at,,
3079,33077_at,,
3080,33078_at,PRAMEF12,1
3081,33079_at,STX6,1
3082,33080_s_at,RAP1GAP,1
3083,33081_at,,
3084,33082_at,ITGA10,1
3085,33083_at,KIAA0509,
3086,33084_at,CPLX2,5
3087,33085_at,PDCD1,2
3088,33086_at,PROP1,5
3089,33087_s_at,KCNH1,1
3090,33088_at,KCNH1,1
3091,33089_s_at,EFNA2,19
3092,33090_at,EFNA2,19
3093,33091_at,HOXD13,2
3094,33092_at,FPR3,19
3095,33093_at,IL18RAP,2
3096,33094_s_at,BFSP2,3
3097,33095_i_at,BFSP2,3
3098,33096_r_at,BFSP2,3
3099,33097_at,CEBPE,14
3100,33098_at,CCR3,3
3101,33099_at,FUT5,19
3102,330_s_at,TUBA4A,2
3103,33100_at,NPY5R,4
3104,33101_g_at,FETUB,3
3105,33102_at,ADD3,10
3106,33103_s_at,ADD3,10
3107,33104_at,PLEKHB1,11
3108,33105_at,PLEKHB1,11
3109,33106_at,NR1H3,11
3110,33107_at,TRIM37,17
3111,33108_i_at,SOX2,3
3112,33109_f_at,SOX2,3
3113,33110_at,SOX2,3
3114,33111_at,CD160,1
3115,33112_at,CD160,1
3116,33113_at,CITED2,6
3117,33114_f_at,,
3118,33115_at,HOXC6,12
3119,33116_f_at,RPS12,6
3120,33117_r_at,RPS12,6
3121,33118_at,SEMA3B,3
3122,33119_at,FAM134B,5
3123,33120_at,RGS10,10
3124,33121_g_at,RGS10,10
3125,33122_at,RGS10,10
3126,33123_at,THAP11,16
3127,33124_at,VRK2,2
3128,33125_at,FANCL,2
3129,33126_at,GLT8D1,3
3130,33127_at,LOXL2,8
3131,33128_s_at,CST6,11
3132,33129_at,CST6,11
3133,33130_at,HOXD1,2
3134,33131_at,SOX4,6
3135,33132_at,CPSF1,8
3136,33133_at,FLII,17
3137,33134_at,ADCY3,2
3138,33135_at,SLC19A1,21
3139,33136_at,UBE2I,16
3140,33137_at,LTBP4,19
3141,33138_at,MLF1,3
3142,33139_s_at,MLF1,3
3143,33140_at,B3GNT1,11
3144,33141_at,HSD17B1,17
3145,33142_at,GPR39,2
3146,33143_s_at,SLC16A3,17
3147,33144_at,SLC16A3,17
3148,33145_at,FANCA,16
3149,33146_at,MCL1,1
3150,33147_at,ZFR,5
3151,33148_at,ZFR,5
3152,33149_at,CLP1,11
3153,33150_at,UTP3,4
3154,33151_s_at,UTP3,4
3155,33152_at,ARF6,14
3156,33153_at,ALOX5,10
3157,33154_at,PSMB4,1
3158,33155_at,IDUA,4
3159,33156_at,IDUA,4
3160,33157_at,INSM1,20
3161,33158_at,KAL1,X
3162,33159_at,NRL,14
3163,33160_at,NRL,14
3164,33161_at,SLC38A10,17
3165,33162_at,INSR,19
3166,33163_r_at,GCLM,1
3167,33164_at,TESK2,1
3168,33165_at,TOE1,1
3169,33166_at,TRADD,16
3170,33167_r_at,ADSS,1
3171,33168_at,SLC46A3,13
3172,33169_at,NEO1,15
3173,33170_at,DNAJC16,1
3174,33171_s_at,SEPT11,4
3175,33172_at,SEPT11,4
3176,33173_g_at,SEPT11,4
3177,33174_s_at,BBS4,15
3178,33175_at,BBS4,15
3179,33176_at,DOHH,19
3180,33177_at,DOHH,19
3181,33178_at,JAG1,20
3182,33179_at,PPP1R2,3
3183,33180_at,PPP1R2,3
3184,33181_at,,
3185,33182_at,NTRK2,9
3186,33183_at,GALK1,17
3187,33184_at,GUCA1A,6
3188,33185_at,CLCC1,1
3189,33186_i_at,,
3190,33187_r_at,,
3191,33188_at,PPIL2,22
3192,33189_at,,
3193,33190_g_at,,
3194,33191_at,FAM178A,10
3195,33192_g_at,FAM178A,10
3196,33193_at,WIPI1,17
3197,33194_at,RQCD1,2
3198,33195_at,DHODH,16
3199,33196_at,NFRKB,11
3200,33197_at,MYO7A,11
3201,33198_at,ARL2BP,16
3202,33199_at,ATP8A2,13
3203,331_at,MAPT,17
3204,33200_at,LLGL1,17
3205,33201_at,LLGL1,17
3206,33202_f_at,FXN,9
3207,33203_s_at,FOXD1,5
3208,33204_at,FOXD1,5
3209,33205_at,,
3210,33206_at,MTSS1L,16
3211,33207_at,CUGBP1,11
3212,33208_at,DNAJC3,13
3213,33209_at,YY1,14
3214,33210_at,YY1,14
3215,33211_at,RRBP1,20
3216,33212_at,RRBP1,20
3217,33213_g_at,RRBP1,20
3218,33214_at,MRPS12,19
3219,33215_g_at,MRPS12,19
3220,33216_at,MRPS12,19
3221,33217_at,CTNNBIP1,1
3222,33218_at,ERBB2,17
3223,33219_at,USP33,1
3224,33220_at,ZNF187,6
3225,33221_at,PAXIP1,7
3226,33222_at,FZD7,2
3227,33223_at,MAST3,19
3228,33224_at,CYHR1,8
3229,33225_at,CYHR1,8
3230,33226_at,KDM4B,19
3231,33227_at,IL10RB,21
3232,33228_g_at,IL10RB,21
3233,33229_at,RPS6KA3,X
3234,33230_at,PRPF19,11
3235,33231_at,PRPF19,11
3236,33232_at,CRIP1,14
3237,33233_at,RBM34,1
3238,33234_at,RBM34,1
3239,33235_at,NAV3,12
3240,33236_at,RARRES3,11
3241,33237_at,DDX46,5
3242,33238_at,LCK,1
3243,33239_at,CCDC46,17
3244,33240_at,PDZRN3,3
3245,33241_at,MFAP3L,4
3246,33242_at,TSR2,X
3247,33243_at,TNFAIP8,5
3248,33244_at,CHN2,7
3249,33245_at,MAPK13,6
3250,33246_at,,
3251,33247_at,PSMD14,2
3252,33248_at,HOXA11,7
3253,33249_at,NR3C2,4
3254,33250_at,WDR46,6
3255,33251_at,TMCC1,3
3256,33252_at,MCM3,6
3257,33253_at,TRIM14,9
3258,33254_at,EVI5,1
3259,33255_at,NASP,1
3260,33256_at,SLC25A12,2
3261,33257_at,,
3262,33258_g_at,DLST,14
3263,33259_at,SEMG2,20
3264,33260_at,SOS1,2
3265,33261_at,HLA-DRB3,6
3266,33262_at,SLC25A16,10
3267,33263_at,ENOSF1,18
3268,33264_at,ENOSF1,18
3269,33265_at,PXMP3,8
3270,33266_at,AURKB,17
3271,33267_at,ATP8A1,4
3272,33268_at,KDM5C,X
3273,33269_at,PIGQ,16
3274,33270_i_at,DMXL1,5
3275,33271_r_at,DMXL1,5
3276,33272_at,SAA1,11
3277,33273_f_at,IGL@,22
3278,33274_f_at,IGL@,22
3279,33275_at,ELK1,X
3280,33276_at,FRY,13
3281,33277_at,MTMR2,11
3282,33278_at,ACSM3,16
3283,33279_s_at,ACSM3,16
3284,33280_r_at,ACSM3,16
3285,33281_at,IKBKE,1
3286,33282_at,LAD1,1
3287,33283_at,ARRB2,17
3288,33284_at,MPO,17
3289,33285_i_at,SIKE1,1
3290,33286_at,ENDOG,9
3291,33287_at,C9orf114,9
3292,33288_i_at,ZNF263,16
3293,33289_f_at,ZNF263,16
3294,33290_at,INPP5B,1
3295,33291_at,RASGRP1,15
3296,33292_at,DNAL4,22
3297,33293_at,FAIM2,12
3298,33294_at,EXOSC7,3
3299,33295_at,DARC,1
3300,33296_at,GLCE,15
3301,33297_at,C6orf130,6
3302,33298_at,STRN,2
3303,33299_at,GPR125,4
3304,332_at,ZBTB25,14
3305,33300_at,CDC2L2,1
3306,33301_g_at,CDC2L2,1
3307,33302_at,SSPN,12
3308,33303_at,SSPN,12
3309,33304_at,ISG20,15
3310,33305_at,SERPINB1,6
3311,33306_at,ZNF24,18
3312,33307_at,RRP7A,22
3313,33308_at,GUSB,7
3314,33309_at,ABHD5,3
3315,33310_at,ABHD5,3
3316,33311_at,CRYAA,21
3317,33312_at,CRYAA,21
3318,33313_g_at,CRYAA,21
3319,33314_at,GCDH,19
3320,33315_at,C2orf3,2
3321,33316_at,TOX,8
3322,33317_at,CDK7,5
3323,33318_at,MBNL2,13
3324,33319_at,AXIN1,16
3325,33320_at,HCP5,6
3326,33321_r_at,,
3327,33322_i_at,SFN,1
3328,33323_r_at,SFN,1
3329,33324_s_at,CDC2,10
3330,33325_at,RPS6KA2,6
3331,33326_at,RAB21,12
3332,33327_at,C11orf9,11
3333,33328_at,HEG1,3
3334,33329_at,NFIC,19
3335,33330_at,CLTCL1,22
3336,33331_at,MALL,2
3337,33332_at,,
3338,33333_at,IPCEF1,6
3339,33334_at,ACYP1,14
3340,33335_at,COG7,16
3341,33336_at,SLC4A1,17
3342,33337_at,DEGS1,1
3343,33338_at,STAT1,2
3344,33339_g_at,STAT1,2
3345,33340_at,PJA2,5
3346,33341_at,GNB1,1
3347,33342_at,SNUPN,15
3348,33343_at,RNF14,5
3349,33344_at,MED14,X
3350,33345_at,KIF3C,2
3351,33346_r_at,TUBG1,17
3352,33347_at,RNF5,6
3353,33348_at,TCF12,15
3354,33349_at,TNPO1,5
3355,33350_s_at,WDR45,X
3356,33351_at,EIF1B,3
3357,33352_at,HIST2H2BE,1
3358,33353_at,ADCY1,7
3359,33354_at,SMURF2,17
3360,33355_at,PBX1,1
3361,33356_at,MAML3,4
3362,33357_at,NCKAP1,2
3363,33358_at,PPM1H,12
3364,33359_at,LPHN3,4
3365,33360_at,KDM2A,11
3366,33361_at,BSCL2,11
3367,33362_at,CDC42EP3,2
3368,33363_at,EIF2AK1,7
3369,33364_at,PDE4DIP,1
3370,33365_at,BAHD1,15
3371,33366_at,SGSM3,22
3372,33367_s_at,AZIN1,8
3373,33368_at,AZIN1,8
3374,33369_at,SC4MOL,4
3375,33370_r_at,SC4MOL,4
3376,33371_s_at,RAB31,18
3377,33372_at,RAB31,18
3378,33373_at,FUBP1,1
3379,33374_at,C2,6
3380,33375_at,MYO6,6
3381,33376_at,,
3382,33377_at,VTN,17
3383,33378_at,NIPBL,5
3384,33379_at,SSX2IP,1
3385,33380_at,POLS,5
3386,33381_at,NCOA3,20
3387,33382_at,NAAA,4
3388,33383_f_at,SFTPB,2
3389,33384_at,CAST,5
3390,33385_g_at,CAST,5
3391,33386_at,H1F0,22
3392,33387_at,GAS7,17
3393,33388_at,TEX261,2
3394,33389_at,CYP51A1,7
3395,33390_at,,
3396,33391_r_at,,
3397,33392_at,WIPI2,7
3398,33393_at,DDX19B,16
3399,33394_at,DDX19A,16
3400,33395_at,C1orf144,1
3401,33396_at,GSTP1,11
3402,33397_at,CDIPT,16
3403,33398_at,ACIN1,14
3404,33399_at,C14orf147,14
3405,333_s_at,RBMS1,2
3406,33400_r_at,C14orf147,14
3407,33401_at,MASP1,3
3408,33402_at,KDELR3,22
3409,33403_at,C1orf77,1
3410,33404_at,CAP2,6
3411,33405_at,CAP2,6
3412,33406_at,CBY1,22
3413,33407_at,DIP2C,10
3414,33408_at,DIP2C,10
3415,33409_at,FKBP2,11
3416,33410_at,ITGA6,2
3417,33411_g_at,ITGA6,2
3418,33412_at,LGALS1,22
3419,33413_at,PTP4A1,6
3420,33414_at,,16nomo1
3421,33415_at,,
3422,33416_at,TCF25,16
3423,33417_at,RAB3GAP1,2
3424,33418_at,RAB3GAP1,2
3425,33419_at,API5,11
