,probesets,sym,chrom
214,1195_s_at,ITGB1BP1,2
215,1196_at,,
216,1197_at,ACTG2,2
217,1198_at,EDNRB,13
218,1199_at,EIF4A1,17
219,1200_at,GLI2,2
220,1201_at,RAB33A,X
221,1202_g_at,RAB33A,X
222,1203_at,INHBA,7
223,1204_at,DGKG,3
224,1205_at,,
225,1206_at,CDK5,7
226,1207_at,CDK6,7
227,1208_at,PTK6,20
228,1209_at,TRAF6,11
229,120_at,ITGA1,5
230,1210_s_at,TNFRSF25,1
231,1211_s_at,CRADD,12
232,1212_at,GSTZ1,14
233,1213_at,SRPK2,7
234,1214_s_at,IFNB1,9
235,1217_g_at,PRKCB,16
236,1218_at,NR2F6,19
237,1219_at,IRF2,4
238,121_at,PAX8,2
239,1220_g_at,IRF2,4
240,1221_at,RAB5B,12
241,1222_at,PCTK2,12
242,1223_at,PCTK3,1
243,1224_at,PCTK1,X
244,1225_g_at,PCTK1,X
245,1226_at,ADAM17,2
246,1227_g_at,ADAM17,2
247,1228_s_at,CTAGE5,14
248,1229_at,MTMR11,1
249,122_at,PRIM2,6
250,1230_g_at,MTMR11,1
251,1231_at,UBE2B,5
252,1232_s_at,IGFBP1,7
253,1233_s_at,AXL,19
254,1234_at,EPHA3,3
255,1235_at,YWHAZ,8
256,1236_s_at,NF1,17
257,1237_at,IER3,6
258,1238_at,MAPK9,5
259,1239_s_at,CASP2,7
260,123_at,PRKD1,14
261,1240_at,CASP2,7
262,1241_at,PTP4A2,1
263,1242_at,ERF,19
264,1243_at,DDB2,11
265,1244_at,STAT2,12
266,1245_i_at,PAK2,3
267,1246_at,PTPRS,19
268,1247_g_at,PTPRS,19
269,1248_at,POLR2H,3
270,1249_at,GAB1,4
271,1250_at,PRKDC,8
272,1251_g_at,RAP1GAP,1
273,1252_at,REEP5,5
274,1253_at,GSK3B,3
275,1254_at,GUCA1A,6
276,1255_g_at,GUCA1A,6
277,1256_at,PTPRD,9
278,1257_s_at,QSOX1,1
279,1258_s_at,ERCC4,16
280,1259_at,ZNF23,16
281,1260_s_at,,
282,1261_i_at,GSTA2,6
283,1262_s_at,TGFB2,1
284,1263_at,IL3,5
285,1264_at,PTPN2,18
286,1265_g_at,PTPN2,18
287,1266_s_at,LCK,1
288,1267_at,PRKCH,14
289,1268_at,UBA1,X
290,1269_at,PIK3R1,5
291,126_s_at,,
292,1270_at,RAP1GAP,1
293,1271_g_at,RELA,11
294,1272_at,EIF2S3,X
295,1273_r_at,CDC34,19
296,1274_s_at,CDC34,19
297,1275_at,PGGT1B,5
298,1276_g_at,RBPMS,8
299,1277_at,ARHGEF16,1
300,1278_at,AXL,19
301,1279_s_at,CDK3,17
302,1280_i_at,MKNK2,19
303,1281_f_at,MKNK2,19
304,1282_s_at,MARK2,11
305,1283_at,MAP3K13,3
306,1284_at,PRKD3,2
307,1285_at,NEK1,4
308,1286_s_at,,
309,1287_at,PARP1,1
310,1288_s_at,EEF1A1,6
311,1289_at,GSTM5,1
312,128_at,CTSK,1
313,1290_g_at,GSTM5,1
314,1291_s_at,FGFR4,5
315,1292_at,DUSP2,2
316,1293_s_at,GPLD1,6
317,1294_at,UBA7,3
318,1295_at,RELA,11
319,1296_at,CDH15,16
320,1297_at,RBPMS,8
321,1298_at,ESR1,6
322,1299_at,TERF2,16
323,129_g_at,CTSK,1
324,1300_at,XRCC2,7
325,1303_at,SH3BP2,4
326,1304_at,,
